T,C,F1627194706.6348214,69.75,157.55
1627194717.5147398,71.375,160.475
1627194728.4040358,71.5,160.70000000000002
1627194739.2847283,71.125,160.025
1627194750.1554456,70.5,158.9
1627194761.0745037,69.75,157.55
1627194771.9948,69.062,156.3116
1627194782.87406,68.437,155.1866
1627194793.7549598,67.812,154.0616
1627194804.6345572,67.187,152.9366
1627194815.5148535,66.625,151.925
1627194826.393886,66.125,151.025
1627194837.2755277,65.562,150.0116
1627194848.1939282,65.125,149.22500000000002
1627194859.1147144,64.625,148.325
1627194870.0046654,64.062,147.3116
1627194880.914738,63.562,146.4116
1627194891.834477,63.125,145.625
1627194902.7545912,62.687,144.8366
1627194913.674548,62.25,144.05
1627194924.5553646,61.75,143.15
1627194935.435199,61.437,142.5866
1627194946.3141336,61.062,141.9116
1627194957.1948667,60.625,141.125
1627194968.0739052,60.187,140.3366
1627194978.953891,59.875,139.775
1627194989.8447962,59.562,139.2116
1627195000.7152002,59.125,138.425
1627195011.595646,58.687,137.6366
1627195022.4745154,58.437,137.1866
1627195033.3542972,58.062,136.5116
1627195044.2410424,57.625,135.72500000000002
1627195055.1251705,57.25,135.05
1627195066.0750127,56.937,134.4866
1627195077.0550935,56.687,134.0366
1627195087.9140105,56.687,134.0366
1627195098.7948241,56.0,132.8
1627195109.6762815,55.625,132.125
1627195120.5565345,55.375,131.675
1627195131.436282,55.125,131.22500000000002
1627195142.3151202,54.75,130.55
1627195153.196686,54.5,130.10000000000002
1627195164.0738096,54.25,129.65
1627195174.9546585,53.875,128.97500000000002
1627195185.8451698,53.625,128.525
1627195196.715486,53.375,128.075
1627195207.6039073,53.125,127.625
1627195218.473889,52.812,127.0616
1627195229.354262,52.5,126.5
1627195240.2345662,52.312,126.16159999999999
1627195251.1147375,52.062,125.7116
1627195261.9951756,51.812,125.2616
1627195272.9149325,51.5,124.7
1627195283.8442028,51.25,124.25
1627195294.713959,51.062,123.91159999999999
1627195305.5947714,50.937,123.6866
1627195316.4846153,50.75,123.35000000000001
1627195327.3640804,50.562,123.0116
1627195338.2339005,50.375,122.675
1627195349.1143556,50.125,122.22500000000001
1627195359.9946926,50.0,122.0
1627195370.9253612,49.75,121.55
1627195381.83472,49.437,120.9866
1627195392.7149916,49.25,120.65
1627195403.5947454,49.125,120.425
1627195414.4738119,49.0,120.2
1627195425.394485,48.75,119.75
1627195436.3145206,48.5,119.3
1627195447.1945858,48.25,118.85000000000001
1627195458.084317,48.0,118.4
1627195468.9547038,47.812,118.0616
1627195479.834509,47.625,117.72500000000001
1627195490.714435,47.312,117.16159999999999
1627195501.5944593,47.125,116.825
1627195512.4748356,46.937,116.4866
1627195523.35456,46.812,116.2616
1627195534.234668,46.687,116.03659999999999
1627195545.1145475,46.625,115.925
1627195556.0344272,46.437,115.5866
1627195566.9538279,46.312,115.3616
1627195577.8346117,46.125,115.025
1627195588.714747,45.937,114.6866
1627195599.5947902,45.75,114.35000000000001
1627195610.485464,45.562,114.0116
1627195621.354456,45.375,113.675
1627195632.2449944,45.25,113.45
1627195643.1148489,45.125,113.22500000000001
1627195653.9947495,45.0,113.0
1627195664.8738837,44.875,112.775
1627195675.7539203,44.687,112.4366
1627195686.6439059,44.562,112.2116
1627195697.5142443,44.375,111.875
1627195708.3939703,44.187,111.53659999999999
1627195719.2743337,44.125,111.425
1627195730.1538424,44.0,111.2
1627195741.0355232,43.812,110.8616
1627195751.9147458,43.687,110.6366
1627195762.7944844,43.562,110.41159999999999
1627195773.6745791,43.375,110.075
1627195784.5539832,43.25,109.85000000000001
1627195795.4439166,43.125,109.625
1627195806.3144138,42.937,109.28659999999999
1627195817.194518,42.812,109.0616
1627195828.0744796,42.687,108.8366
1627195838.9544387,42.562,108.6116
1627195849.8345191,42.437,108.3866
1627195860.714437,42.312,108.16159999999999
1627195871.5944393,42.187,107.9366
1627195882.4844398,42.0,107.60000000000001
1627195893.3544998,41.812,107.2616
1627195904.2346814,41.687,107.03659999999999
1627195915.114296,41.562,106.8116
1627195925.994512,41.375,106.47500000000001
1627195936.8746586,41.187,106.1366
1627195947.7537692,41.062,105.91159999999999
1627195958.6344776,41.0,105.8
1627195969.5147328,40.875,105.575
1627195980.39449,40.687,105.2366
1627195991.274502,40.562,105.0116
1627196002.1545823,40.437,104.78659999999999
1627196013.0337567,40.312,104.5616
1627196023.9143057,40.187,104.3366
1627196034.7937465,40.125,104.22500000000001
1627196045.6745057,40.0,104.0
1627196056.5545805,39.875,103.775
1627196067.4344363,39.75,103.55
1627196078.314417,39.625,103.325
1627196089.19451,39.5,103.10000000000001
1627196100.0741074,39.375,102.875
1627196110.9545941,39.25,102.65
1627196121.8337266,39.125,102.425
1627196132.71379,39.062,102.3116
1627196143.5944264,38.937,102.0866
1627196154.4737387,38.812,101.8616
1627196165.3544486,38.75,101.75
1627196176.2345076,38.625,101.525
1627196187.1145842,38.5,101.3
1627196197.9944417,38.437,101.1866
1627196208.8745587,38.312,100.9616
1627196219.7542496,38.187,100.7366
1627196230.6344376,38.062,100.5116
1627196241.5144491,38.0,100.4
1627196252.3945498,37.937,100.28659999999999
1627196263.2743359,37.812,100.0616
1627196274.1543052,37.687,99.8366
1627196285.0337439,37.625,99.72500000000001
1627196295.9144504,37.5,99.5
1627196306.794442,37.375,99.275
1627196317.6744485,37.312,99.16159999999999
1627196328.5643835,37.187,98.9366
1627196339.4337683,37.062,98.7116
1627196350.314449,37.0,98.60000000000001
1627196361.194435,36.937,98.4866
1627196372.0745828,36.812,98.2616
1627196382.9547238,36.75,98.15
